station_id,name,archetype,base_cycle_time_ms,cycle_time_std_ms,buffer_capacity,sensor_coverage
S01,Body Infeed,AUTOMATED,36000,3600,0,NORMAL
S02,Underbody Weld,AUTOMATED,39000,3900,4,NORMAL
S03,Floor Pan Weld,AUTOMATED,41000,4100,4,NORMAL
S04,Side Frame Weld,AUTOMATED,43000,4730,4,NORMAL
S05,Roof Fit,AUTOMATED,44000,4400,4,NORMAL
S06,Weld Verification,AUTOMATED,40000,4000,4,NORMAL
S07,Door Aperture Weld,AUTOMATED,45000,5400,4,NORMAL
S08,Manual Seam Dress,MANUAL,58000,10440,2,NORMAL
S09,Body Geometry Scan,AUTOMATED,42000,4200,4,NORMAL
S10,Pre-Paint Inspection,INSPECTION,52000,6240,3,NORMAL
S11,Sealer Apply,AUTOMATED,40000,4000,4,NORMAL
S12,Legacy Alignment A,AUTOMATED,46000,5520,3,NORMAL
S13,Legacy Alignment Manual,MANUAL,62000,12400,2,NORMAL
S14,Legacy Alignment B,AUTOMATED,48000,5760,3,NORMAL
S15,Legacy Alignment C,AUTOMATED,45000,5400,3,NORMAL
S16,E-Coat Load,AUTOMATED,41000,4100,4,NORMAL
S17,E-Coat Bake,AUTOMATED,55000,5500,4,NORMAL
S18,Manual Surface Check,MANUAL,60000,10800,2,NORMAL
S19,Primer Spray,AUTOMATED,43000,4300,4,NORMAL
S20,Topcoat Spray,AUTOMATED,45000,4950,4,NORMAL
S21,Paint Inspection,INSPECTION,54000,6480,3,NORMAL
S22,Glass Install,AUTOMATED,43000,4300,4,NORMAL
S23,Instrument Install,AUTOMATED,46000,5520,4,NORMAL
S24,Manual Trim Fit,MANUAL,62000,11160,2,NORMAL
S25,Seat Install,AUTOMATED,44000,4400,4,NORMAL
S26,Wheel Install,AUTOMATED,42000,4200,4,NORMAL
S27,Fluid Fill,AUTOMATED,43000,4300,4,NORMAL
S28,Electrical Test,AUTOMATED,48000,5760,4,NORMAL
S29,Dynamic Test,AUTOMATED,50000,6000,4,NORMAL
S30,Final Audit,MANUAL,58000,9280,2,NORMAL
S31,End-of-Line Inspection,INSPECTION,52000,6240,3,NORMAL
S32,Vehicle Dispatch,AUTOMATED,35000,2800,4,NORMAL
